property_type,sector,society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,sector 103,Satya The Hermitage3.5 ★,0.99,6653.0,3,4,3+,2.0,Relatively New,1731.0,0,1,0,1,0,0,174
flat,sector 3,Godrej Habitat,1.1,10407.0,2,2,2,14.0,Under Construction,956.0,0,0,0,0,0,0,0
flat,sector 103,Chintamani,1.57,8509.0,3,3,3,1.0,Relatively New,1845.0,0,0,0,0,0,0,0
flat,sector 102,Shapoorji Pallonji Joyville Gurugram4.0 ★,1.75,9449.0,3,3,3,10.0,Relatively New,1465.0,1,1,0,1,1,0,49
flat,sector 95,Signature The Roselia3.6 ★,0.48,7164.0,2,2,2,6.0,Relatively New,744.0,0,0,0,0,0,0,16
house,sector 43,sushant lok 1 builder floors,6.25,30728.0,7,7,3+,3.0,Moderately Old,2034.0,1,1,1,0,0,0,46
house,dwarka expressway,rattan vihar rajendra park,0.85,14167.0,1,5,3+,4.0,New Property,600.0,0,0,0,0,0,0,0
flat,sector 51,Housing Board Colony,0.3,7317.0,1,1,2,0.0,Old Property,459.0,0,0,0,0,0,0,0
house,sector 3,independent,0.9,8929.0,3,1,0,1.0,Moderately Old,1008.0,0,0,0,0,0,0,0
flat,sector 85,SS The Leaf3.8 ★,1.2,7317.0,2,2,3+,14.0,Relatively New,1380.0,0,0,1,0,0,0,141
house,sector 25,dlf city plots phase 2,4.25,31481.0,3,2,3,2.0,Old Property,1350.0,1,0,0,0,0,0,35
flat,sector 81,Bestech Spa Signature,4.45,10595.0,4,4,3+,8.0,Relatively New,3850.0,1,1,0,1,1,1,49
flat,sector 110,Indiabulls Enigma,3.4,10000.0,4,5,3,3.0,Relatively New,3077.0,0,1,1,0,0,0,90
flat,sector 62,Pioneer Araya3.8 ★,9.2,19944.0,4,6,3,5.0,Relatively New,3867.0,0,1,0,1,0,1,156
house,sector 2,independent,5.0,15385.0,6,6,2,1.0,Moderately Old,3611.0,0,0,0,0,0,0,0
flat,sector 33,Godrej Nature Plus,1.35,8671.0,3,2,3+,17.0,New Property,1409.0,0,0,0,0,0,0,38
flat,sector 41,South City 1 Floors,3.4,11724.0,4,4,3,0.0,Old Property,2900.0,0,0,0,0,0,0,0
flat,sector 85,SS The Leaf3.8 ★,1.14,6433.0,2,2,3,16.0,Relatively New,1604.0,0,0,0,0,0,0,44
house,sector 28,independent,11.75,41315.0,4,5,3+,4.0,Relatively New,2844.0,1,1,1,0,0,1,54
